backbone,batch_size,img_size,seed,accuracy
mobilenetv4_conv_medium.e250_r384_in12k_ft_in1k,16,384,42,?
mobilenetv4_conv_medium.e250_r384_in12k_ft_in1k,32,384,42,?
mobilenetv4_conv_medium.e250_r384_in12k_ft_in1k,64,384,42,?
mobilenetv4_conv_medium.e250_r384_in12k_ft_in1k,128,384,42,?
mobilenetv4_conv_medium.e250_r384_in12k_ft_in1k,256,384,42,?
xcit_tiny_12_p8_384.fb_dist_in1k,16,384,42,?
xcit_tiny_12_p8_384.fb_dist_in1k,32,384,42,?
xcit_tiny_12_p8_384.fb_dist_in1k,64,384,42,?
xcit_tiny_12_p8_384.fb_dist_in1k,128,384,42,?
xcit_tiny_12_p8_384.fb_dist_in1k,256,384,42,?
edgenext_small.usi_in1k,16,384,42,?
edgenext_small.usi_in1k,32,384,42,?
edgenext_small.usi_in1k,64,384,42,?
edgenext_small.usi_in1k,128,384,42,?
edgenext_small.usi_in1k,256,384,42,?
efficientnet_b1.ra4_e3600_r240_in1k,16,240,42,?
efficientnet_b1.ra4_e3600_r240_in1k,32,240,42,?
efficientnet_b1.ra4_e3600_r240_in1k,64,240,42,?
efficientnet_b1.ra4_e3600_r240_in1k,128,240,42,?
efficientnet_b1.ra4_e3600_r240_in1k,256,240,42,?
densenet121.ra_in1k,16,512,42,?
densenet121.ra_in1k,32,512,42,?
densenet121.ra_in1k,64,512,42,?
densenet121.ra_in1k,128,512,42,?
densenet121.ra_in1k,256,512,42,?
densenet121.ra_in1k,16,288,42,?
densenet121.ra_in1k,32,288,42,?
densenet121.ra_in1k,64,288,42,?
densenet121.ra_in1k,128,288,42,?
densenet121.ra_in1k,256,288,42,?
